time,Latitude_B4,Longitude_B4,Latitude_B6,Longitude_B6
2012-03-10 11:00:00,86.35490481055832,-53.6429371834125,NaN,NaN
2012-03-10 12:00:00,86.35403442379999,-53.60900306705,NaN,NaN
2012-03-10 13:00:00,86.35316403704167,-53.5750689506875,NaN,NaN
2012-03-10 14:00:00,86.35229365028333,-53.541134834325,NaN,NaN
2012-03-10 15:00:00,86.35142326352499,-53.5072007179625,NaN,NaN
2012-03-10 16:00:00,86.35055287676666,-53.4732666016,NaN,NaN
2012-03-10 17:00:00,86.34968249000833,-53.4393324852375,NaN,NaN
2012-03-10 18:00:00,86.34881210325,-53.405398368875,NaN,NaN
2012-03-10 19:00:00,86.34794171649166,-53.3714642525125,NaN,NaN
2012-03-10 20:00:00,86.34707132973332,-53.33753013615,NaN,NaN
2012-03-10 21:00:00,86.34620094297499,-53.3035960197875,NaN,NaN
2012-03-10 22:00:00,86.34533055621667,-53.269661903424996,NaN,NaN
2012-03-10 23:00:00,86.34446016945833,-53.2357277870625,NaN,NaN
2012-03-11 00:00:00,86.3435897827,-53.2017936707,NaN,NaN
2012-03-11 01:00:00,86.34196758268749,-53.20503536864583,NaN,NaN
2012-03-11 02:00:00,86.340345382675,-53.20827706659166,NaN,NaN
2012-03-11 03:00:00,86.33872318266249,-53.2115187645375,NaN,NaN
2012-03-11 04:00:00,86.33710098265,-53.21476046248333,NaN,NaN
2012-03-11 05:00:00,86.3354787826375,-53.218002160429165,NaN,NaN
2012-03-11 06:00:00,86.333856582625,-53.221243858375,NaN,NaN
2012-03-11 07:00:00,86.3322343826125,-53.22448555632083,NaN,NaN
2012-03-11 08:00:00,86.33061218259999,-53.22772725426667,NaN,NaN
2012-03-11 09:00:00,86.3289899825875,-53.2309689522125,NaN,NaN
2012-03-11 10:00:00,86.327367782575,-53.23421065015833,NaN,NaN
2012-03-11 11:00:00,86.3257455825625,-53.23745234810416,NaN,NaN
2012-03-11 12:00:00,86.32412338255,-53.240694046049995,NaN,NaN
2012-03-11 13:00:00,86.3225011825375,-53.243935743995834,NaN,NaN
2012-03-11 14:00:00,86.320878982525,-53.247177441941666,NaN,NaN
2012-03-11 15:00:00,86.3192567825125,-53.2504191398875,NaN,NaN
2012-03-11 16:00:00,86.3176345825,-53.25366083783333,NaN,NaN
2012-03-11 17:00:00,86.3160123824875,-53.25690253577917,NaN,NaN
2012-03-11 18:00:00,86.314390182475,-53.260144233725,NaN,NaN
2012-03-11 19:00:00,86.3127679824625,-53.26338593167083,NaN,NaN
2012-03-11 20:00:00,86.31114578245,-53.266627629616664,NaN,NaN
2012-03-11 21:00:00,86.3095235824375,-53.269869327562496,NaN,NaN
2012-03-11 22:00:00,86.307901382425,-53.273111025508335,NaN,NaN
2012-03-11 23:00:00,86.30627918241251,-53.27635272345417,NaN,NaN
2012-03-12 00:00:00,86.3046569824,-53.2795944214,NaN,NaN
2012-03-12 01:00:00,86.30214627581667,-53.18079280854583,NaN,NaN
2012-03-12 02:00:00,86.29963556923333,-53.081991195691664,NaN,NaN
2012-03-12 03:00:00,86.29712486265001,-52.9831895828375,NaN,NaN
2012-03-12 04:00:00,86.29461415606667,-52.88438796998333,NaN,NaN
2012-03-12 05:00:00,86.29210344948333,-52.78558635712916,NaN,NaN
2012-03-12 06:00:00,86.2895927429,-52.686784744275,NaN,NaN
2012-03-12 07:00:00,86.28708203631666,-52.587983131420835,NaN,NaN
2012-03-12 08:00:00,86.28457132973334,-52.48918151856667,NaN,NaN
2012-03-12 09:00:00,86.28206062315,-52.3903799057125,NaN,NaN
2012-03-12 10:00:00,86.27954991656667,-52.29157829285833,NaN,NaN
2012-03-12 11:00:00,86.27703920998333,-52.192776680004165,NaN,NaN
2012-03-12 12:00:00,86.2745285034,-52.09397506715,NaN,NaN
2012-03-12 13:00:00,86.27201779681667,-51.99517345429583,NaN,NaN
2012-03-12 14:00:00,86.26950709023333,-51.89637184144166,NaN,NaN
2012-03-12 15:00:00,86.26699638365,-51.797570228587496,NaN,NaN
2012-03-12 16:00:00,86.26448567706666,-51.69876861573333,NaN,NaN
2012-03-12 17:00:00,86.26197497048334,-51.59996700287916,NaN,NaN
2012-03-12 18:00:00,86.2594642639,-51.501165390024994,NaN,NaN
2012-03-12 19:00:00,86.25695355731666,-51.402363777170834,NaN,NaN
2012-03-12 20:00:00,86.25444285073333,-51.303562164316666,NaN,NaN
2012-03-12 21:00:00,86.25193214414999,-51.2047605514625,NaN,NaN
2012-03-12 22:00:00,86.24942143756667,-51.10595893860833,NaN,NaN
2012-03-12 23:00:00,86.24691073098333,-51.007157325754164,NaN,NaN
2012-03-13 00:00:00,86.2444000244,-50.9083557129,NaN,NaN
2012-03-13 01:00:00,86.24291356403333,-50.83853960038333,NaN,NaN
2012-03-13 02:00:00,86.24142710366667,-50.768723487866666,NaN,NaN
2012-03-13 03:00:00,86.2399406433,-50.69890737535,NaN,NaN
2012-03-13 04:00:00,86.23845418293332,-50.62909126283333,NaN,NaN
2012-03-13 05:00:00,86.23696772256666,-50.559275150316665,NaN,NaN
2012-03-13 06:00:00,86.2354812622,-50.489459037799996,NaN,NaN
2012-03-13 07:00:00,86.23399480183333,-50.419642925283334,NaN,NaN
2012-03-13 08:00:00,86.23250834146667,-50.349826812766665,NaN,NaN
2012-03-13 09:00:00,86.23102188109999,-50.280010700249996,NaN,NaN
2012-03-13 10:00:00,86.22953542073333,-50.21019458773333,NaN,NaN
2012-03-13 11:00:00,86.22804896036666,-50.140378475216664,NaN,NaN
2012-03-13 12:00:00,86.2265625,-50.0705623627,NaN,NaN
2012-03-13 13:00:00,86.22507603963334,-50.00074625018333,NaN,NaN
2012-03-13 14:00:00,86.22358957926667,-49.930930137666664,NaN,NaN
2012-03-13 15:00:00,86.22210311890001,-49.86111402515,NaN,NaN
2012-03-13 16:00:00,86.22061665853333,-49.79129791263333,NaN,NaN
